code,description,unit_of_quantity,section_name,chapter_name,import_policy,export_policy,policy_condition
0910,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices",,Vegetable Products,"Coffee, tea, mate and spices",Free,Free,
091030,"Turmeric (curcuma)",KGS,Vegetable Products,"Coffee, tea, mate and spices",Free,Free,
09103010,"Turmeric (curcuma) powder, fresh or dried",KGS,Vegetable Products,"Coffee, tea, mate and spices",Free,Free,
10,"Cereals",,Vegetable Products,Cereals,,,
1006,"Rice",,Vegetable Products,Cereals,Free,Free,
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",KGS,Vegetable Products,Cereals,Free,Free,
10063020,"Basmati rice, semi-milled or wholly milled",KGS,Vegetable Products,Cereals,Free,Free,Registration-cum-Allocation Certificate may apply
17,"Sugars and sugar confectionery",,Prepared Foodstuffs,Sugars and sugar confectionery,,,
1701,"Cane or beet sugar and chemically pure sucrose, in solid form",,Prepared Foodstuffs,Sugars and sugar confectionery,Free,Restricted,Export subject to policy notifications
170199,"Refined sugar, other",KGS,Prepared Foodstuffs,Sugars and sugar confectionery,Free,Restricted,
17019990,"Refined cane sugar, other",KGS,Prepared Foodstuffs,Sugars and sugar confectionery,Free,Restricted,
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,Prepared Foodstuffs,Cereal preparations,,,
1905,"Bread, pastry, cakes, biscuits and other bakers' wares",,Prepared Foodstuffs,Cereal preparations,Free,Free,
190531,"Sweet biscuits",KGS,Prepared Foodstuffs,Cereal preparations,Free,Free,
19053100,"Sweet biscuits",KGS,Prepared Foodstuffs,Cereal preparations,Free,Free,
22,"Beverages, spirits and vinegar",,Prepared Foodstuffs,"Beverages, spirits and vinegar",,,
2202,"Waters, incl. mineral and aerated, with added sugar/sweetener/flavour; non-alcoholic beverages",,Prepared Foodstuffs,"Beverages, spirits and vinegar",Free,Free,
220210,"Waters, with added sugar/sweetener/flavour (aerated waters)",LTR,Prepared Foodstuffs,"Beverages, spirits and vinegar",Free,Free,
22021010,"Aerated waters / carbonated soft drink",LTR,Prepared Foodstuffs,"Beverages, spirits and vinegar",Free,Free,
30,"Pharmaceutical products",,Chemical Products,Pharmaceutical products,,,
3004,"Medicaments consisting of mixed or unmixed products for therapeutic use, packaged for retail",,Chemical Products,Pharmaceutical products,Free,Free,
300490,"Medicaments, other, for retail sale",KGS,Chemical Products,Pharmaceutical products,Free,Free,
30049099,"Other medicaments for retail sale",KGS,Chemical Products,Pharmaceutical products,Free,Free,
33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,Chemical Products,Cosmetics and toiletries,,,
3304,"Beauty or make-up preparations and preparations for the care of the skin",,Chemical Products,Cosmetics and toiletries,Free,Free,
330499,"Beauty/skin-care preparations, other",KGS,Chemical Products,Cosmetics and toiletries,Free,Free,
33049990,"Other beauty or skin-care preparations",KGS,Chemical Products,Cosmetics and toiletries,Free,Free,
39,"Plastics and articles thereof",,Plastics and Rubber,Plastics and articles thereof,,,
3923,"Articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps",,Plastics and Rubber,Plastics and articles thereof,Free,Free,
392330,"Carboys, bottles, flasks and similar articles, of plastics",KGS,Plastics and Rubber,Plastics and articles thereof,Free,Free,
39233090,"Plastic bottles, other",KGS,Plastics and Rubber,Plastics and articles thereof,Free,Free,
42,"Articles of leather; saddlery and harness; travel goods, handbags",,Raw Hides and Leather,Leather articles,,,
4202,"Trunks, suitcases, handbags, wallets and similar containers",,Raw Hides and Leather,Leather articles,Free,Free,
420221,"Handbags with outer surface of leather",PCS,Raw Hides and Leather,Leather articles,Free,Free,
42022110,"Handbags with outer surface of leather",PCS,Raw Hides and Leather,Leather articles,Free,Free,
61,"Articles of apparel and clothing accessories, knitted or crocheted",,Textiles,Knitted apparel,,,
6105,"Men's or boys' shirts, knitted or crocheted",,Textiles,Knitted apparel,Free,Free,
610510,"Men's or boys' shirts of cotton, knitted or crocheted",PCS,Textiles,Knitted apparel,Free,Free,
61051010,"Men's cotton shirts, knitted",PCS,Textiles,Knitted apparel,Free,Free,
62,"Articles of apparel and clothing accessories, not knitted or crocheted",,Textiles,Woven apparel,,,
6205,"Men's or boys' shirts (woven)",,Textiles,Woven apparel,Free,Free,
620520,"Men's or boys' shirts of cotton (woven)",PCS,Textiles,Woven apparel,Free,Free,
62052000,"Men's cotton shirts, woven",PCS,Textiles,Woven apparel,Free,Free,
64,"Footwear, gaiters and the like; parts of such articles",,Footwear and Headgear,Footwear,,,
6403,"Footwear with outer soles of rubber/plastics/leather and uppers of leather",,Footwear and Headgear,Footwear,Free,Free,
640399,"Footwear with leather uppers, other",PRS,Footwear and Headgear,Footwear,Free,Free,
64039910,"Leather footwear for men, other",PRS,Footwear and Headgear,Footwear,Free,Free,
71,"Natural or cultured pearls, precious stones, precious metals; imitation jewellery; coin",,Precious Metals,Gems and jewellery,,,
7113,"Articles of jewellery and parts thereof, of precious metal",,Precious Metals,Gems and jewellery,Free,Free,
711319,"Articles of jewellery of other precious metal (e.g. gold)",GMS,Precious Metals,Gems and jewellery,Free,Free,
71131910,"Gold jewellery, set with or without precious stones",GMS,Precious Metals,Gems and jewellery,Free,Free,
76,"Aluminium and articles thereof",,Base Metals,Aluminium and articles thereof,,,
7612,"Aluminium casks, drums, cans, boxes and similar containers",,Base Metals,Aluminium and articles thereof,Free,Free,
761290,"Aluminium containers, other (incl. beverage cans)",KGS,Base Metals,Aluminium and articles thereof,Free,Free,
76129090,"Aluminium beverage can and other containers",KGS,Base Metals,Aluminium and articles thereof,Free,Free,
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",,Machinery,Mechanical machinery,,,
8471,"Automatic data processing machines (computers) and units thereof",,Machinery,Mechanical machinery,Free,Free,
847130,"Portable automatic data processing machines, weight <= 10 kg (laptops)",NOS,Machinery,Mechanical machinery,Free,Free,
84713010,"Laptops / notebook computers",NOS,Machinery,Mechanical machinery,Free,Free,
85,"Electrical machinery and equipment and parts thereof",,Machinery,Electrical machinery,,,
8501,"Electric motors and generators (excluding generating sets)",,Machinery,Electrical machinery,Free,Free,
850110,"Electric motors of an output not exceeding 37.5 W",NOS,Machinery,Electrical machinery,Free,Free,
85011000,"Electric motor, output not exceeding 37.5 W",NOS,Machinery,Electrical machinery,Free,Free,
8503,"Parts suitable for use solely or principally with the machines of heading 8501 or 8502",,Machinery,Electrical machinery,Free,Free,
850300,"Parts of electric motors and generators",KGS,Machinery,Electrical machinery,Free,Free,
85030090,"Electric motor part, other",KGS,Machinery,Electrical machinery,Free,Free,
8517,"Telephone sets, incl. smartphones; apparatus for communication in a network",,Machinery,Electrical machinery,Free,Free,
851713,"Smartphones",NOS,Machinery,Electrical machinery,Free,Free,
85171300,"Smartphones",NOS,Machinery,Electrical machinery,Free,Free,
94,"Furniture; bedding, mattresses; lamps and lighting fittings",,Miscellaneous,Furniture and bedding,,,
9403,"Other furniture and parts thereof",,Miscellaneous,Furniture and bedding,Free,Free,
940360,"Other wooden furniture",NOS,Miscellaneous,Furniture and bedding,Free,Free,
94036000,"Other wooden furniture",NOS,Miscellaneous,Furniture and bedding,Free,Free,
